CP_Not_Sure,6640,2460,,,,,,,,
design,70,0.28,,,,,,,,
G_Pilot_True,168,18,,,,,,,,
G_Pilot_False,101,72,,,,,,,,
G_Not_Sure,7952,1689,,,,,,,,
CP_Pilot_True,746,96,,,,,,,,
CP_Pilot_False,178,140,,,,,,,,
CP_Not_Sure,7297,1543,,,,,,,,
design,82,0.28,,,,,,,,
G_Pilot_True,238,23,,,,,,,,
G_Pilot_False,103,75,,,,,,,,
G_Not_Sure,8302,1259,,,,,,,,
CP_Pilot_True,967,93,,,,,,,,
CP_Pilot_False,226,129,,,,,,,,
CP_Not_Sure,7450,1135,,,,,,,,
design,90,0.28,,,,,,,,
G_Pilot_True,629,16,,,,,,,,
G_Pilot_False,93,33,,,,,,,,
G_Not_Sure,8594,635,,,,,,,,
CP_Pilot_True,1671,71,,,,,,,,
CP_Pilot_False,240,88,,,,,,,,
CP_Not_Sure,7405,525,,,,,,,,
design,110,0.28,,,,,,,,
G_Pilot_True,96,15,,,,,,,,
G_Pilot_False,99,93,,,,,,,,
G_Not_Sure,7952,1745,,,,,,,,
CP_Pilot_True,605,91,,,,,,,,
CP_Pilot_False,192,161,,,,,,,,
CP_Not_Sure,7350,1601,,,,,,,,
design,92,0.32,,,,,,,,
G_Pilot_True,246,15,,,,,,,,
G_Pilot_False,101,82,,,,,,,,
G_Not_Sure,8308,1248,,,,,,,,
CP_Pilot_True,1051,90,,,,,,,,
CP_Pilot_False,206,147,,,,,,,,
CP_Not_Sure,7398,1108,,,,,,,,
design,102,0.32,,,,,,,,
G_Pilot_True,608,22,,,,,,,,
G_Pilot_False,86,44,,,,,,,,
G_Not_Sure,8552,688,,,,,,,,
CP_Pilot_True,1676,67,,,,,,,,
CP_Pilot_False,243,96,,,,,,,,
CP_Not_Sure,7327,591,,,,,,,,
design,122,0.32,,,,,,,,
G_Pilot_True,814,24,,,,,,,,
G_Pilot_False,102,23,,,,,,,,
G_Not_Sure,8567,470,,,,,,,,
CP_Pilot_True,1900,58,,,,,,,,
CP_Pilot_False,253,61,,,,,,,,
CP_Not_Sure,7330,398,,,,,,,,
design,132,0.32,,,,,,,,
G_Pilot_True,2099,17,,,,,,,,
G_Pilot_False,71,13,,,,,,,,
G_Not_Sure,7619,181,,,,,,,,
CP_Pilot_True,2686,25,,,,,,,,
CP_Pilot_False,275,36,,,,,,,,
CP_Not_Sure,6828,150,,,,,,,,
design,162,0.32,,,,,,,,
G_Pilot_True,38,13,,,,,,,,
G_Pilot_False,109,104,,,,,,,,
G_Not_Sure,7316,2420,,,,,,,,
CP_Pilot_True,383,82,,,,,,,,
CP_Pilot_False,213,197,,,,,,,,
CP_Not_Sure,6867,2258,,,,,,,,
design,92,0.36,,,,,,,,
G_Pilot_True,98,11,,,,,,,,
G_Pilot_False,96,76,,,,,,,,
G_Not_Sure,8037,1682,,,,,,,,
CP_Pilot_True,694,84,,,,,,,,
CP_Pilot_False,195,152,,,,,,,,
CP_Not_Sure,7342,1533,,,,,,,,
design,102,0.36,,,,,,,,
G_Pilot_True,280,16,,,,,,,,
G_Pilot_False,106,39,,,,,,,,
G_Not_Sure,8630,929,,,,,,,,
CP_Pilot_True,1319,89,,,,,,,,
CP_Pilot_False,249,88,,,,,,,,
CP_Not_Sure,7448,807,,,,,,,,
design,122,0.36,,,,,,,,
G_Pilot_True,425,15,,,,,,,,
G_Pilot_False,102,45,,,,,,,,
G_Not_Sure,8677,736,,,,,,,,
CP_Pilot_True,1504,73,,,,,,,,
CP_Pilot_False,261,91,,,,,,,,
CP_Not_Sure,7439,632,,,,,,,,
design,132,0.36,,,,,,,,
G_Pilot_True,1324,17,,,,,,,,
G_Pilot_False,91,23,,,,,,,,
G_Not_Sure,8239,306,,,,,,,,
CP_Pilot_True,2296,36,,,,,,,,
CP_Pilot_False,266,56,,,,,,,,
CP_Not_Sure,7092,254,,,,,,,,
design,162,0.36,,,,,,,,
G_Pilot_True,23,4,,,,,,,,
G_Pilot_False,111,131,,,,,,,,
G_Not_Sure,6693,3038,,,,,,,,
CP_Pilot_True,248,65,,,,,,,,
CP_Pilot_False,190,215,,,,,,,,
CP_Not_Sure,6389,2893,,,,,,,,
design,92,0.4,,,,,,,,
G_Pilot_True,47,4,,,,,,,,
G_Pilot_False,82,104,,,,,,,,
G_Not_Sure,7424,2339,,,,,,,,
CP_Pilot_True,455,85,,,,,,,,
CP_Pilot_False,152,176,,,,,,,,
CP_Not_Sure,6946,2186,,,,,,,,
design,102,0.4,,,,,,,,
G_Pilot_True,137,10,,,,,,,,
G_Pilot_False,96,74,,,,,,,,
G_Not_Sure,8289,1394,,,,,,,,
CP_Pilot_True,951,78,,,,,,,,
CP_Pilot_False,200,139,,,,,,,,
CP_Not_Sure,7371,1261,,,,,,,,
design,122,0.4,,,,,,,,
G_Pilot_True,200,14,,,,,,,,
G_Pilot_False,112,63,,,,,,,,
G_Not_Sure,8437,1174,,,,,,,,
CP_Pilot_True,1144,94,,,,,,,,
CP_Pilot_False,245,127,,,,,,,,
CP_Not_Sure,7360,1030,,,,,,,,
design,132,0.4,,,,,,,,
G_Pilot_True,765,21,,,,,,,,
G_Pilot_False,88,32,,,,,,,,
G_Not_Sure,8609,485,,,,,,,,
CP_Pilot_True,1898,67,,,,,,,,
CP_Pilot_False,244,68,,,,,,,,
CP_Not_Sure,7320,403,,,,,,,,
design,162,0.4,,,,,,,,
G_Pilot_True,6,3,,,,,,,,
G_Pilot_False,96,178,,,,,,,,
G_Not_Sure,6006,3711,,,,,,,,
CP_Pilot_True,165,55,,,,,,,,
CP_Pilot_False,157,269,,,,,,,,
CP_Not_Sure,5786,3568,,,,,,,,
design,92,0.44,,,,,,,,
G_Pilot_True,17,11,,,,,,,,
G_Pilot_False,95,134,,,,,,,,
G_Not_Sure,6842,2901,,,,,,,,
CP_Pilot_True,315,77,,,,,,,,
CP_Pilot_False,138,213,,,,,,,,
CP_Not_Sure,6501,2756,,,,,,,,
design,102,0.44,,,,,,,,
G_Pilot_True,83,8,,,,,,,,
G_Pilot_False,84,86,,,,,,,,
G_Not_Sure,7887,1852,,,,,,,,
CP_Pilot_True,665,90,,,,,,,,
CP_Pilot_False,174,154,,,,,,,,
CP_Not_Sure,7215,1702,,,,,,,,
design,122,0.44,,,,,,,,
G_Pilot_True,98,14,,,,,,,,
G_Pilot_False,100,66,,,,,,,,
G_Not_Sure,8205,1517,,,,,,,,
CP_Pilot_True,811,103,,,,,,,,
CP_Pilot_False,202,117,,,,,,,,
CP_Not_Sure,7390,1377,,,,,,,,
design,132,0.44,,,,,,,,
G_Pilot_True,447,21,,,,,,,,
G_Pilot_False,100,49,,,,,,,,
G_Not_Sure,8664,719,,,,,,,,
CP_Pilot_True,1642,80,,,,,,,,
CP_Pilot_False,241,86,,,,,,,,
CP_Not_Sure,7328,623,,,,,,,,
design,162,0.44,,,,,,,,
G_Pilot_True,6,2,,,,,,,,
G_Pilot_False,69,186,,,,,,,,
G_Not_Sure,5420,4317,,,,,,,,
CP_Pilot_True,104,46,,,,,,,,
CP_Pilot_False,107,280,,,,,,,,
CP_Not_Sure,5284,4179,,,,,,,,
design,92,0.48,,,,,,,,
G_Pilot_True,12,1,,,,,,,,
G_Pilot_False,79,163,,,,,,,,
G_Not_Sure,6293,3452,,,,,,,,
CP_Pilot_True,180,71,,,,,,,,
CP_Pilot_False,103,241,,,,,,,,
CP_Not_Sure,6101,3304,,,,,,,,
design,102,0.48,,,,,,,,
G_Pilot_True,40,3,,,,,,,,
G_Pilot_False,88,115,,,,,,,,
G_Not_Sure,7471,2283,,,,,,,,
CP_Pilot_True,472,78,,,,,,,,
CP_Pilot_False,152,172,,,,,,,,
CP_Not_Sure,6975,2151,,,,,,,,
design,122,0.48,,,,,,,,
G_Pilot_True,44,7,,,,,,,,
G_Pilot_False,102,78,,,,,,,,
G_Not_Sure,7832,1937,,,,,,,,
CP_Pilot_True,561,94,,,,,,,,
CP_Pilot_False,183,150,,,,,,,,
CP_Not_Sure,7234,1778,,,,,,,,
design,132,0.48,,,,,,,,
G_Pilot_True,246,13,,,,,,,,
G_Pilot_False,95,47,,,,,,,,
G_Not_Sure,8575,1024,,,,,,,,
CP_Pilot_True,1326,77,,,,,,,,
CP_Pilot_False,215,112,,,,,,,,
CP_Not_Sure,7375,895,,,,,,,,
design,162,0.48,,,,,,,,
