Routine,2665,647,design,18,0.12,,Pilot_False,,,,,,
design,18,0.06,rate,88.904,8,,Routine,,,,,,
rate,26.3742,6,Pilot_True,3942,0,,design,sigma^2=0.06,,sigma^2=0.06,,sigma^2=0.06,
Pilot_True,8362,0,Pilot_False,0,0,,,,,,,,
Pilot_False,0,0,Routine,5470,588,,,,,,,,
Routine,1320,318,design,24,0.12,,,,,,,,
design,24,0.06,rate,79.3932,8,,,,,,,,
rate,28.0456,6,Pilot_True,109,0,,,,,,,,
Pilot_True,922,0,Pilot_False,0,138,,,,,,,,
Pilot_False,0,28,Routine,5998,3755,,,,,,,,
Routine,7865,1185,design,6,0.15,,,,,,,,
design,6,0.06,rate,58.6782,6,,,,,,,,
rate,64.8432,8,Pilot_True,305,0,,,,,,,,
Pilot_True,3533,0,Pilot_False,0,31,,,,,,,,
Pilot_False,0,4,Routine,6911,2753,,,,,,,,
Routine,5766,697,design,12,0.15,,,,,,,,
design,12,0.06,rate,65.4698,6,,,,,,,,
rate,53.4658,8,Pilot_True,935,0,,,,,,,,
Pilot_True,6698,0,Pilot_False,0,7,,,,,,,,
Pilot_False,0,0,Routine,6905,2153,,,,,,,,
Routine,2939,363,design,18,0.15,,,,,,,,
design,18,0.06,rate,68.9478,6,,,,,,,,
rate,41.1626,8,Pilot_True,2460,0,,,,,,,,
Pilot_True,8412,0,Pilot_False,0,3,,,,,,,,
Pilot_False,0,0,Routine,5853,1684,,,,,,,,
Routine,1394,194,design,24,0.15,,,,,,,,
design,24,0.06,rate,67.1532,6,,,,,,,,
rate,35.6358,8,Pilot_True,129,0,,,,,,,,
Pilot_True,388,0,Pilot_False,0,121,,,,,,,,
Pilot_False,0,58,Routine,8528,1222,,,,,,,,
Routine,6191,3363,design,6,0.15,,,,,,,,
design,6,0.09,rate,102.0014,8,,,,,,,,
rate,38.8312,6,Pilot_True,270,0,,,,,,,,
Pilot_True,1445,0,Pilot_False,0,30,,,,,,,,
Pilot_False,0,9,Routine,8766,934,,,,,,,,
Routine,6368,2178,design,12,0.15,,,,,,,,
design,12,0.09,rate,106.6236,8,,,,,,,,
rate,41.5184,6,Pilot_True,931,0,,,,,,,,
Pilot_True,3777,0,Pilot_False,0,10,,,,,,,,
Pilot_False,0,1,Routine,8261,798,,,,,,,,
Routine,4921,1301,design,18,0.15,,,,,,,,
design,18,0.09,rate,106.2186,8,,,,,,,,
rate,40.0714,6,Pilot_True,2407,0,,,,,,,,
Pilot_True,6026,0,Pilot_False,0,4,,,,,,,,
Pilot_False,0,0,Routine,6925,664,,,,,,,,
Routine,3165,809,design,24,0.15,,,,,,,,
design,24,0.09,rate,98.962,8,,,,,,,,
rate,37.9204,6,,,,,,,,,,,
Pilot_True,376,0,,,,,,,,,,,
Pilot_False,0,62,,,,,,,,,,,
Routine,8174,1388,,,,,,,,,,,
design,6,0.09,,,,,,,,,,,
rate,83.5152,8,,,,,,,,,,,
Pilot_True,1432,0,,,,,,,,,,,
Pilot_False,0,6,,,,,,,,,,,
Routine,7617,945,,,,,,,,,,,
design,12,0.09,,,,,,,,,,,
rate,78.9514,8,,,,,,,,,,,
Pilot_True,3781,0,,,,,,,,,,,
Pilot_False,0,1,,,,,,,,,,,
Routine,5579,639,,,,,,,,,,,
design,18,0.09,,,,,,,,,,,
rate,67.4254,8,,,,,,,,,,,
Pilot_True,5990,0,,,,,,,,,,,
Pilot_False,0,0,,,,,,,,,,,
Routine,3577,433,,,,,,,,,,,
design,24,0.09,,,,,,,,,,,
rate,57.5594,8,,,,,,,,,,,
Pilot_True,212,0,,,,,,,,,,,
Pilot_False,0,83,,,,,,,,,,,
Routine,6157,3548,,,,,,,,,,,
design,6,0.12,,,,,,,,,,,
rate,49.6558,6,,,,,,,,,,,
Pilot_True,632,0,,,,,,,,,,,
Pilot_False,0,16,,,,,,,,,,,
Routine,6810,2542,,,,,,,,,,,
design,12,0.12,,,,,,,,,,,
rate,53.7664,6,,,,,,,,,,,
Pilot_True,1976,0,,,,,,,,,,,
Pilot_False,0,7,,,,,,,,,,,
Routine,6225,1792,,,,,,,,,,,
design,18,0.12,,,,,,,,,,,
rate,54.5416,6,,,,,,,,,,,
Pilot_True,3927,0,,,,,,,,,,,
Pilot_False,0,2,,,,,,,,,,,
Routine,4761,1310,,,,,,,,,,,
design,24,0.12,,,,,,,,,,,
rate,51.8834,6,,,,,,,,,,,
Pilot_True,182,0,,,,,,,,,,,
Pilot_False,0,80,,,,,,,,,,,
Routine,8363,1375,,,,,,,,,,,
design,6,0.12,,,,,,,,,,,
rate,94.6174,8,,,,,,,,,,,
Pilot_True,672,0,,,,,,,,,,,
Pilot_False,0,16,,,,,,,,,,,
Routine,8314,998,,,,,,,,,,,
design,12,0.12,,,,,,,,,,,
rate,93.93,8,,,,,,,,,,,
Pilot_True,2039,0,,,,,,,,,,,
Pilot_False,0,3,,,,,,,,,,,
Routine,7188,770,,,,,,,,,,,
design,18,0.12,,,,,,,,,,,
rate,88.904,8,,,,,,,,,,,
Pilot_True,3942,0,,,,,,,,,,,
Pilot_False,0,0,,,,,,,,,,,
Routine,5470,588,,,,,,,,,,,
design,24,0.12,,,,,,,,,,,
rate,79.3932,8,,,,,,,,,,,
Pilot_True,109,0,,,,,,,,,,,
Pilot_False,0,138,,,,,,,,,,,
Routine,5998,3755,,,,,,,,,,,
design,6,0.15,,,,,,,,,,,
rate,58.6782,6,,,,,,,,,,,
Pilot_True,305,0,,,,,,,,,,,
Pilot_False,0,31,,,,,,,,,,,
Routine,6911,2753,,,,,,,,,,,
design,12,0.15,,,,,,,,,,,
rate,65.4698,6,,,,,,,,,,,
Pilot_True,935,0,,,,,,,,,,,
Pilot_False,0,7,,,,,,,,,,,
Routine,6905,2153,,,,,,,,,,,
design,18,0.15,,,,,,,,,,,
rate,68.9478,6,,,,,,,,,,,
Pilot_True,2460,0,,,,,,,,,,,
Pilot_False,0,3,,,,,,,,,,,
Routine,5853,1684,,,,,,,,,,,
design,24,0.15,,,,,,,,,,,
rate,67.1532,6,,,,,,,,,,,
Pilot_True,129,0,,,,,,,,,,,
Pilot_False,0,121,,,,,,,,,,,
Routine,8528,1222,,,,,,,,,,,
design,6,0.15,,,,,,,,,,,
rate,102.0014,8,,,,,,,,,,,
Pilot_True,270,0,,,,,,,,,,,
Pilot_False,0,30,,,,,,,,,,,
Routine,8766,934,,,,,,,,,,,
design,12,0.15,,,,,,,,,,,
rate,106.6236,8,,,,,,,,,,,
Pilot_True,931,0,,,,,,,,,,,
Pilot_False,0,10,,,,,,,,,,,
Routine,8261,798,,,,,,,,,,,
design,18,0.15,,,,,,,,,,,
rate,106.2186,8,,,,,,,,,,,
Pilot_True,2407,0,,,,,,,,,,,
Pilot_False,0,4,,,,,,,,,,,
Routine,6925,664,,,,,,,,,,,
design,24,0.15,,,,,,,,,,,
rate,98.962,8,,,,,,,,,,,
